player_name,season,season_end_year,team_abbreviation,team_name,games_played,minutes,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,true_shooting_pct,effective_field_goal_pct,per,defensive_rating,db_age,db_dpm,db_o_dpm,db_offposs,db_total_rapm,db_transition_ts,season_games_played,season_minutes,season_minutes_per_game,season_points_per_game,history_weighted_seasons,history_recent_weight
Ben Saraf,25-26,2026,BKN,Nets,44.0,916.0,20.799999237060547,7.5,2.0999999046325684,3.299999952316284,0.8999999761581421,0.2000000029802322,2.299999952316284,48.59999847412109,42.70000076293945,7.699999809265137,120.0999984741211,,,,,,,44.0,916.0,20.799999237060547,7.5,1.0,1.0
Ben Sheppard,25-26,2026,IND,Pacers,64.87942062849372,1376.6342,21.258543344628706,6.7493250312501445,3.020229182773729,1.7106620285224523,0.6000000238418579,0.1329349158445101,0.5334824139537825,56.133780376634434,54.3660683970855,9.648330179366509,119.54144662910232,23.40835338689024,-1.59549715072176,-0.9721556433651464,2329.451898325673,0.5730324971228963,0.4002689535953709,65.0,1390.0,21.399999618530277,7.099999904632568,3.0,0.6282746425169896
Bennedict Mathurin,25-26,2026,IND,Pacers,43.42424610128946,1334.2047,31.13854840855531,17.223489463256193,5.377231041089777,2.1599475551740945,0.635706169664247,0.1704882460002489,2.163643860491188,58.56789000938751,51.477881295137855,12.953365665376452,119.13604651668568,22.43449839816015,-1.905643694978597,-0.5168229675934866,4104.505802511729,0.1904707223238929,0.4963364255847592,28.0,891.0,31.799999237060547,17.799999237060547,3.0,0.5021791779244634
Bennedict Mathurin,25-26,2026,LAC,Clippers,43.42424610128946,1334.2047,31.13854840855531,17.223489463256193,5.377231041089777,2.1599475551740945,0.635706169664247,0.1704882460002489,2.163643860491188,58.56789000938751,51.477881295137855,12.953365665376452,119.13604651668568,22.43449839816015,-1.905643694978597,-0.5168229675934866,4104.505802511729,0.1904707223238929,0.4963364255847592,26.0,729.0,28.0,17.399999618530273,3.0,0.5021791779244634
Bez Mbeng,25-26,2026,UTA,Jazz,15.0,492.0,32.79999923706055,8.100000381469727,3.799999952316284,4.099999904632568,2.299999952316284,0.3000000119209289,1.5,55.0,53.0,10.5,120.8000030517578,,,,,,,15.0,492.0,32.79999923706055,8.100000381469727,1.0,1.0
Bilal Coulibaly,25-26,2026,WAS,Wizards,57.752178725655845,1638.0878,28.293929755657107,11.45682061463572,4.477289841545828,2.7178146794677422,1.2494795275784694,0.8879326601769706,1.6025499114727173,52.78858896722707,48.42695877595603,12.137750971853729,119.96323260707028,20.18344186806506,-2.6884567714116976,-2.091382792889797,3960.540426123723,-1.4906757259287975,0.4566691402844225,56.0,1468.0,26.200000762939453,11.699999809265137,3.0,0.5843418506116097
Blake Hinson,25-26,2026,UTA,Jazz,14.0,285.0,20.399999618530277,11.899999618530272,2.400000095367432,1.100000023841858,0.4000000059604645,0.1000000014901161,0.4000000059604645,68.4000015258789,67.4000015258789,16.5,126.5,,,,,,,14.0,285.0,20.399999618530277,11.899999618530272,1.0,1.0
Blake Wesley,25-26,2026,POR,Trail Blazers,44.67836439577152,549.2475,12.113188809972588,4.374104927632833,1.2661398046313652,2.1118433089618707,0.5329077117439327,0.1511146838760667,0.9511146699691144,51.48250961447068,48.997791411638445,10.340872519872764,117.03811338182928,21.41363896227955,-1.754393542572512,-2.158680008546812,1547.9064524605812,0.8852192389178752,0.6531451667630515,31.0,361.0,11.600000381469728,4.800000190734863,3.0,0.5111468162428251
Bobby Portis,25-26,2026,MIL,Bucks,64.24479974914526,1571.1243,24.545531582243203,13.763813388299344,7.038135778156499,1.691058431550239,0.6505819409130656,0.3019454191990811,1.0638135957392598,57.4696214284205,56.11125697921845,17.30389126517084,115.64942086615044,30.544780290734582,-0.5991765232375615,-0.0013609989190115,3180.434926034671,-0.2813010224338171,0.4845626574688124,67.0,1619.0,24.200000762939453,13.699999809265137,3.0,0.6186816391173382
Bogdan BogdanoviÄ,25-26,2026,LAC,Clippers,27.916617249410884,639.42914,21.82823170684228,9.07785877922259,2.7902429715174693,2.545279679333316,0.5302402259788604,0.1400604125338513,1.2100590371547515,55.21141530665939,52.631309113854535,10.721782808739691,117.47518072171992,,,,,,,23.0,452.0,19.700000762939453,7.400000095367432,3.0,0.4996908646214416
Bones Hyland,25-26,2026,MIN,Timberwolves,59.46655048518877,960.99567,15.530492698938652,8.129319984076256,1.674770072661352,2.4018288356302167,0.6573860915271483,0.1895422610333681,1.0522010540899596,58.29082414015101,55.82507134962859,14.85367347256816,114.24347998977566,23.9589254018174,-0.6922888434970399,-0.3478454895904055,733.6151518546595,-0.7548368130617864,0.6490542249877691,71.0,1177.0,16.600000381469727,8.5,3.0,0.7389947917786938
Bradley Beal,25-26,2026,LAC,Clippers,36.98297078208637,1169.244,28.155940208583885,14.112383242132069,2.55007034929294,3.139017062258335,0.8862509362082021,0.3296060721498549,1.819343027475552,55.725874553953865,53.010348323972046,11.82600369568742,120.9649316157438,31.97381261375132,-1.2089324493714946,-0.0047547778808696,2378.772377730136,-0.7714268153776511,0.4219983863829319,6.0,121.0,20.200000762939453,8.199999809265137,3.0,0.1907878557002901
Branden Carlson,25-26,2026,OKC,Thunder,39.50821673132863,427.69885,10.628204764106911,5.301643477591847,2.6760681869544705,0.6252464944745857,0.2000000029802322,0.6249178476172602,0.3501643398444278,60.50262840097773,59.679355057712144,17.700000762939453,106.8003298149161,25.799999237060547,-1.649999976158142,-1.3300000429153442,520.0,0.5116075873374939,,42.0,488.0,11.600000381469728,5.800000190734863,2.0,0.7508216731328631
Brandin Podziemski,25-26,2026,GSW,Warriors,77.30543268615371,2174.9592,28.09291583105879,13.36857545246866,5.077801964982517,3.617529094975186,1.1095134230387582,0.2000000029802322,1.5027232736425842,57.72160997832612,54.17945351346896,14.89848062229135,114.99509352789406,21.53814793179475,-0.4261368248435895,-0.7097831545347906,3647.1286246476297,1.3227403030646323,0.6381781263880396,82.0,2333.0,28.5,13.800000190734863,3.0,0.6068081100064495
Brandon Ingram,25-26,2026,TOR,Raptors,65.17967839243632,2193.4905,33.55726697479003,21.52284195370717,5.531284117674043,4.229957473391236,0.8170062959180601,0.6692505516051711,2.651831276431708,57.14763338273906,52.98572334342109,16.42710799105006,115.57465987686712,28.072615336068864,0.5963930525970585,0.8912166223484023,4359.523929153239,-0.7656129229568608,0.6365893354681388,77.0,2604.0,33.79999923706055,21.5,3.0,0.6925055252924062
Brandon Miller,25-26,2026,CHA,Hornets,58.58382397635239,1814.0775,31.33480050599374,19.97385930814125,4.820041064015169,3.2401842511361094,1.0067144460587767,0.6866734855014329,2.466837288088666,56.42542559559567,52.69907859145304,15.712404533884886,115.75412726240565,21.84085889654048,-1.5560368378288412,-0.3321043276474412,3043.397063443909,-1.656893781405609,0.6401797441899544,65.0,1968.0,30.299999237060547,20.200000762939453,3.0,0.6663254085493479
Brandon Williams,25-26,2026,DAL,Mavericks,65.30883122533429,1430.029,22.62745948401593,13.257841511572783,2.935894761087157,3.932693542450455,0.9593369499493728,0.3044112225594952,1.9435071036341205,60.172065706839255,53.15181786346486,18.07246662860309,116.38724306241716,25.257007637991517,-0.4557231260885059,0.2020204240080458,957.0052346683664,-0.3552961799439031,0.703000009059906,66.0,1463.0,22.200000762939453,13.0,3.0,0.7678257315130279
Brice Sensabaugh,25-26,2026,UTA,Jazz,76.91705553290927,1753.2483,22.948984357402693,14.309372636010076,3.06515869916185,1.802899401737851,0.6933349825935835,0.1722028325966069,1.658493801717334,60.16801816168452,57.00648784818943,14.537626956080231,123.9259560061282,21.166213109385303,-1.4283734655771878,-0.011806554998398,2622.6728131687337,-1.700821228675464,0.5963236517989154,75.0,1762.0,23.5,14.899999618530272,3.0,0.6424688196473797
Brook Lopez,25-26,2026,LAC,Clippers,77.02276649373329,2009.6422,25.935911249684864,10.37213494530426,4.228348660428577,1.4893653356884045,0.587088745527497,1.565819502925804,0.9162014935026896,58.09212650637276,55.933900127664,13.375939813781876,114.63291851416191,37.34152449605454,-0.1267658568684113,-1.80828162128036,4015.019905980585,0.1443536847845784,0.6042834837250048,75.0,1635.0,21.799999237060547,8.5,3.0,0.5696241507811947
Bruce Brown,25-26,2026,DEN,Nuggets,72.61850945122727,1763.409,24.228530333629337,7.776262983912074,3.9237995648684896,2.119460140111649,0.937146689481976,0.2195046702854186,1.0566513719097554,54.730619417149946,51.550167981216624,10.602717238920484,117.84542684384864,28.09920623309401,-2.7613301736587634,-2.027193780865931,2601.005394822412,-1.1364433490868644,0.629063524397819,82.0,1998.0,24.399999618530277,7.900000095367432,3.0,0.6983464491298084
Bryce McGowens,25-26,2026,NOP,Pelicans,42.55838306728371,819.80347,18.7371741730848,7.129720261025899,1.9026079391299389,1.314506117493227,0.5334119904326123,0.1857297946500511,0.4083211557841089,58.74188065522881,53.39594490180987,10.60840426851922,121.6727569891171,21.0,-2.450000047683716,-1.950000047683716,1779.0,-1.3942500352859497,0.640999972820282,42.0,880.0,21.0,8.100000381469727,3.0,0.7740864156283791
Bub Carrington,25-26,2026,WAS,Wizards,82.0,2330.7188,28.434508764485635,10.412583661230304,3.655481132762685,4.53612968335341,0.6319351535162646,0.2319351469307595,2.108389136200189,54.25872352270153,52.36291788777192,9.61258347049544,124.29065817650525,19.700000762939453,-4.050000190734863,-2.1700000762939453,5142.0,-3.173478126525879,0.6039999723434448,82.0,2271.0,27.700000762939453,10.699999809265137,2.0,0.6806485890469687
Buddy Hield,25-26,2026,GSW,Warriors,56.75969979372469,1131.6267,19.160707439516894,9.000710379750567,2.7284082398880662,1.519415226958395,0.800000011920929,0.2290257902141253,1.0314284332015209,56.10350670342739,54.49779093200653,12.391298806272736,114.94691764376564,33.16536388328591,-0.8695606698024053,-0.5248777244443694,1841.9625004418376,0.3796595335006714,0.4434289986424453,44.0,768.0,17.5,8.0,3.0,0.5237025366728708
CJ McCollum,25-26,2026,ATL,Hawks,49.05493451397297,1516.148,30.529975397758434,19.610470746190494,3.4805675120199364,4.170059037284438,0.92529513532814,0.5393069799970842,1.8719763331194332,56.14491336378176,53.69978055421045,16.439381426438146,117.99501450100244,33.93222600604291,0.6859339643917527,0.962212421434582,4399.338470221122,0.037768806005783,0.559465989532184,41.0,1182.0,28.799999237060547,18.700000762939453,3.0,0.5564165426042951
CJ McCollum,25-26,2026,WAS,Wizards,49.05493451397297,1516.148,30.529975397758434,19.610470746190494,3.4805675120199364,4.170059037284438,0.92529513532814,0.5393069799970842,1.8719763331194332,56.14491336378176,53.69978055421045,16.439381426438146,117.99501450100244,33.93222600604291,0.6859339643917527,0.962212421434582,4399.338470221122,0.037768806005783,0.559465989532184,35.0,1082.0,30.899999618530277,18.799999237060547,3.0,0.5564165426042951
